feature_type,num_clusters,use_haralick,use_custom,use_pca,dimension_reduction,cluster_method,accuracy,f1_score,num_train,num_tested
daisy,2,True,True,True,2.0,gmm,0.0282485875706214,0.0279693486590038,851,177
daisy,2,True,True,True,5.0,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,True,True,True,8.0,gmm,0.7344632768361582,0.4234527687296417,851,177
daisy,2,True,True,True,12.0,gmm,0.3163841807909605,0.3035801385230709,851,177
daisy,2,True,True,False,,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,True,True,True,2.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,True,True,5.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,True,True,8.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,True,True,12.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,True,False,,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,True,True,2.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,True,True,5.0,spectral,0.2711864406779661,0.2183959196248245,851,177
daisy,2,True,True,True,8.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,True,True,12.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,True,False,,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,True,False,,spectral,0.2711864406779661,0.2183959196248245,851,177
daisy,2,True,False,True,2.0,gmm,0.0282485875706214,0.0279693486590038,851,177
daisy,2,True,False,True,5.0,gmm,0.751412429378531,0.4290322580645161,851,177
daisy,2,True,False,True,8.0,gmm,0.4971751412429379,0.4955650196932338,851,177
daisy,2,True,False,True,12.0,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,True,False,False,,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,True,False,False,,gmm,0.751412429378531,0.4290322580645161,851,177
daisy,2,True,False,True,2.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,False,True,5.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,False,True,8.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,False,True,12.0,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,False,False,,agg,0.96045197740113,0.9439696106362774,851,177
daisy,2,True,False,True,2.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,False,True,5.0,spectral,0.2711864406779661,0.2183959196248245,851,177
daisy,2,True,False,True,8.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,False,True,12.0,spectral,0.7288135593220338,0.7118046132971506,851,177
daisy,2,True,False,False,,spectral,0.2711864406779661,0.2183959196248245,851,177
daisy,2,False,True,True,2.0,gmm,0.4011299435028249,0.3955541237113402,851,177
daisy,2,False,True,True,5.0,gmm,0.536723163841808,0.36005291005291,851,177
daisy,2,False,True,True,8.0,gmm,0.4632768361581921,0.3254843756267801,851,177
daisy,2,False,True,True,12.0,gmm,0.5141242937853108,0.5133631713554987,851,177
daisy,2,False,True,False,,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,False,True,False,,gmm,0.751412429378531,0.4290322580645161,851,177
daisy,2,False,True,True,2.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,True,5.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,True,8.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,True,12.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,False,,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,True,2.0,spectral,0.9830508474576272,0.976776732998032,851,177
daisy,2,False,True,True,5.0,spectral,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,True,8.0,spectral,0.0225988700564971,0.0220994475138121,851,177
daisy,2,False,True,True,12.0,spectral,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,False,,spectral,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,True,False,,spectral,0.9830508474576272,0.976776732998032,851,177
daisy,2,False,False,True,2.0,gmm,0.751412429378531,0.4290322580645161,851,177
daisy,2,False,False,True,5.0,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,False,False,True,8.0,gmm,0.7570621468926554,0.4526429341963322,851,177
daisy,2,False,False,True,12.0,gmm,0.3672316384180791,0.275438596491228,851,177
daisy,2,False,False,False,,gmm,0.3954802259887006,0.3904997908151771,851,177
daisy,2,False,False,False,,gmm,0.2485875706214689,0.1990950226244344,851,177
daisy,2,False,False,True,2.0,agg,0.5141242937853108,0.5137362637362637,851,177
daisy,2,False,False,True,5.0,agg,0.5310734463276836,0.5301135454981609,851,177
daisy,2,False,False,True,8.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,False,True,12.0,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,False,False,,agg,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,False,True,2.0,spectral,0.5706214689265536,0.5675154320987654,851,177
daisy,2,False,False,True,5.0,spectral,0.0225988700564971,0.0224740622505985,851,177
daisy,2,False,False,True,8.0,spectral,0.0169491525423728,0.0166666666666666,851,177
daisy,2,False,False,True,12.0,spectral,0.9830508474576272,0.976776732998032,851,177
daisy,2,False,False,False,,spectral,0.0169491525423728,0.0166666666666666,851,177
fast,2,True,True,True,2.0,gmm,0.9717514124293786,0.9612945549967198,849,177
fast,2,True,True,True,5.0,gmm,0.0790960451977401,0.0732984293193717,849,177
fast,2,True,True,True,8.0,gmm,0.1016949152542373,0.0923076923076923,849,177
fast,2,True,True,True,12.0,gmm,0.135593220338983,0.1220295023504619,849,177
fast,2,True,True,False,,gmm,0.2485875706214689,0.1990950226244344,849,177
fast,2,True,True,False,,gmm,0.751412429378531,0.4290322580645161,849,177
fast,2,True,True,True,2.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,True,True,5.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,True,True,8.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,True,True,12.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,True,False,,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,True,True,2.0,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,True,True,5.0,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,True,True,True,8.0,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,True,True,True,12.0,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,True,True,False,,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,True,True,False,,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,False,True,2.0,gmm,0.0282485875706214,0.0279693486590038,849,177
fast,2,True,False,True,5.0,gmm,0.0734463276836158,0.0698538836195847,849,177
fast,2,True,False,True,8.0,gmm,0.0734463276836158,0.0698538836195847,849,177
fast,2,True,False,True,12.0,gmm,0.864406779661017,0.781571369806664,849,177
fast,2,True,False,False,,gmm,0.2485875706214689,0.1990950226244344,849,177
fast,2,True,False,False,,gmm,0.751412429378531,0.4290322580645161,849,177
fast,2,True,False,True,2.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,False,True,5.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,False,True,8.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,False,True,12.0,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,False,False,,agg,0.96045197740113,0.9439696106362774,849,177
fast,2,True,False,True,2.0,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,False,True,5.0,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,False,True,8.0,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,True,False,True,12.0,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,False,False,,spectral,0.7288135593220338,0.7118046132971506,849,177
fast,2,True,False,False,,spectral,0.2711864406779661,0.2183959196248245,849,177
fast,2,False,True,True,2.0,gmm,0.288135593220339,0.2591682168482593,849,177
fast,2,False,True,True,5.0,gmm,0.7288135593220338,0.4755555555555555,849,177
fast,2,False,True,True,8.0,gmm,0.7288135593220338,0.4215686274509803,849,177
fast,2,False,True,True,12.0,gmm,0.2711864406779661,0.2319620572504961,849,177
fast,2,False,True,False,,gmm,0.751412429378531,0.4290322580645161,849,177
fast,2,False,True,False,,gmm,0.2485875706214689,0.1990950226244344,849,177
fast,2,False,True,True,2.0,agg,0.4293785310734463,0.4287220784200939,849,177
fast,2,False,True,True,5.0,agg,0.4463276836158192,0.445460358056266,849,177
